safety_year,sgg_nm,safety_index,safety_score,safety_value_label,safety_metric_used,gu_code,cctv_count,crime_count,cctv_score,crime_score
2023,강남구,0.2492,24.92,0.249,safety_index,11680,8365,29114,0.4983,0.0
2023,강동구,0.5133,51.33,0.513,safety_index,11740,4237,9785,0.207,0.8197
2023,강북구,0.5628,56.28,0.563,safety_index,11305,4596,8048,0.2323,0.8933
2023,강서구,0.4637,46.37,0.464,safety_index,11500,4735,12954,0.2421,0.6853
2023,관악구,0.4848,48.48,0.485,safety_index,11620,6789,15379,0.3871,0.5825
2023,광진구,0.4119,41.19,0.412,safety_index,11215,1304,9688,0.0,0.8238
2023,구로구,0.5583,55.83,0.558,safety_index,11530,5886,10410,0.3234,0.7932
2023,금천구,0.5252,52.52,0.525,safety_index,11545,3169,7447,0.1316,0.9188
2023,노원구,0.5058,50.58,0.506,safety_index,11350,4240,10144,0.2072,0.8045
2023,도봉구,0.553,55.3,0.553,safety_index,11320,2807,5533,0.1061,1.0
2023,동대문구,0.5136,51.36,0.514,safety_index,11230,4305,9885,0.2118,0.8154
2023,동작구,0.4782,47.82,0.478,safety_index,11590,2690,8868,0.0978,0.8586
2023,마포구,0.4456,44.56,0.446,safety_index,11440,3855,12342,0.18,0.7113
2023,서대문구,0.5798,57.98,0.58,safety_index,11410,4337,6816,0.214,0.9456
2023,서초구,0.4378,43.78,0.438,safety_index,11650,6397,16941,0.3594,0.5162
2023,성동구,0.5535,55.35,0.554,safety_index,11200,3921,7367,0.1847,0.9222
2023,성북구,0.5957,59.57,0.596,safety_index,11290,5577,8130,0.3016,0.8899
2023,송파구,0.372,37.2,0.372,safety_index,11710,4682,17190,0.2384,0.5057
2023,양천구,0.9365,93.65,0.936,safety_index,11470,15474,8529,1.0,0.8729
2023,영등포구,0.4711,47.11,0.471,safety_index,11560,5515,13905,0.2972,0.645
2023,용산구,0.6067,60.67,0.607,safety_index,11170,6437,9042,0.3622,0.8512
2023,은평구,0.5631,56.31,0.563,safety_index,11380,5719,9905,0.3116,0.8146
2023,종로구,0.486,48.6,0.486,safety_index,11110,3125,9223,0.1285,0.8435
2023,중구,0.4878,48.78,0.488,safety_index,11140,3519,9793,0.1563,0.8193
2023,중랑구,0.5649,56.49,0.565,safety_index,11260,5549,9536,0.2996,0.8302
2024,강남구,0.2492,24.92,0.249,safety_index,11680,8365,31705,0.4983,0.0
2024,강동구,0.5066,50.66,0.507,safety_index,11740,4237,11267,0.207,0.8063
2024,강북구,0.5715,57.15,0.572,safety_index,11305,4596,8620,0.2323,0.9107
2024,강서구,0.4491,44.91,0.449,safety_index,11500,4735,15073,0.2421,0.6561
2024,관악구,0.4927,49.27,0.493,safety_index,11620,6789,16539,0.3871,0.5983
2024,광진구,0.432,43.2,0.432,safety_index,11215,1304,9803,0.0,0.864
2024,구로구,0.5558,55.58,0.556,safety_index,11530,5886,11726,0.3234,0.7882
2024,금천구,0.5143,51.43,0.514,safety_index,11545,3169,8965,0.1316,0.8971
2024,노원구,0.5316,53.16,0.532,safety_index,11350,4240,10005,0.2072,0.856
2024,도봉구,0.553,55.3,0.553,safety_index,11320,2807,6356,0.1061,1.0
2024,동대문구,0.5179,51.79,0.518,safety_index,11230,4305,10817,0.2118,0.824
2024,동작구,0.4965,49.65,0.496,safety_index,11590,2690,9014,0.0978,0.8951
2024,마포구,0.4493,44.93,0.449,safety_index,11440,3855,13488,0.18,0.7186
2024,서대문구,0.5854,58.54,0.585,safety_index,11410,4337,7453,0.214,0.9567
2024,서초구,0.4651,46.51,0.465,safety_index,11650,6397,17238,0.3594,0.5707
2024,성동구,0.5442,54.42,0.544,safety_index,11200,3921,8798,0.1847,0.9037
2024,성북구,0.5955,59.55,0.596,safety_index,11290,5577,9158,0.3016,0.8895
2024,송파구,0.3832,38.32,0.383,safety_index,11710,4682,18321,0.2384,0.528
2024,양천구,0.9307,93.07,0.931,safety_index,11470,15474,9869,1.0,0.8614
2024,영등포구,0.4689,46.89,0.469,safety_index,11560,5515,15467,0.2972,0.6406
2024,용산구,0.5947,59.47,0.595,safety_index,11170,6437,10736,0.3622,0.8272
2024,은평구,0.5699,56.99,0.57,safety_index,11380,5719,10708,0.3116,0.8283
2024,종로구,0.4921,49.21,0.492,safety_index,11110,3125,10015,0.1285,0.8557
2024,중구,0.5079,50.79,0.508,safety_index,11140,3519,9919,0.1563,0.8594
2024,중랑구,0.5632,56.32,0.563,safety_index,11260,5549,10744,0.2996,0.8269
